"Date","Hour","Total min.","Productive min.","Neutral min.","Distracting min."
"2021-09-01","2 PM","37.1","3.8","30.5","2.9"
"2021-09-01","3 PM","24.6","3.9","14.2","6.5"
"2021-09-01","4 PM","47.0","36.4","5.4","5.3"
"2021-09-01","5 PM","11.0","0.9","0.0","10.1"
"2021-09-01","7 PM","4.2","0.0","0.5","3.8"
"2021-09-01","8 PM","2.2","0.0","0.8","1.5"
"2021-09-01","9 PM","45.0","0.0","32.2","12.8"
"2021-09-01","10 PM","60.0","0.4","30.3","29.3"
"2021-09-01","11 PM","60.0","40.4","10.6","9.0"
"2021-09-02","12 AM","3.1","3.1","0.0","0.0"
"2021-09-02","1 AM","0.4","0.4","0.0","0.0"
"2021-09-02","2 AM","0.4","0.4","0.0","0.0"
"2021-09-02","10 AM","14.1","0.1","0.6","13.5"
"2021-09-02","11 AM","50.3","33.6","14.5","2.2"
"2021-09-02","12 PM","39.9","4.6","34.7","0.7"
"2021-09-02","1 PM","24.4","0.1","24.1","0.2"
"2021-09-02","2 PM","37.4","7.8","29.5","0.0"
"2021-09-02","3 PM","51.1","33.5","17.6","0.0"
"2021-09-02","4 PM","33.5","23.2","10.2","0.0"
"2021-09-02","6 PM","8.4","8.3","0.1","0.0"
"2021-09-02","8 PM","45.3","42.3","1.1","1.8"
"2021-09-02","9 PM","4.3","4.3","0.0","0.0"
"2021-09-02","10 PM","57.0","45.5","1.3","10.2"
"2021-09-02","11 PM","33.4","12.0","6.9","14.4"
"2021-09-03","12 AM","43.5","0.0","0.0","43.5"
"2021-09-03","1 AM","21.2","20.2","1.0","0.0"
"2021-09-03","11 AM","53.1","43.8","6.3","3.0"
"2021-09-03","12 PM","4.6","4.6","0.0","0.0"
"2021-09-03","1 PM","43.0","40.0","2.8","0.2"
"2021-09-03","2 PM","60.0","35.7","21.6","2.7"
"2021-09-03","3 PM","59.9","45.6","14.0","0.4"
"2021-09-03","4 PM","26.1","14.8","10.9","0.4"
"2021-09-03","5 PM","49.9","0.0","0.6","49.2"
"2021-09-03","6 PM","60.0","0.0","0.0","60.0"
"2021-09-03","7 PM","44.7","0.1","0.0","44.6"
"2021-09-03","9 PM","45.4","0.8","0.2","44.3"
"2021-09-03","10 PM","60.0","0.2","0.0","59.8"
"2021-09-03","11 PM","6.7","5.0","0.0","1.7"
"2021-09-04","1 AM","46.4","0.1","41.5","4.8"
"2021-09-04","2 AM","15.9","1.8","11.4","2.7"
"2021-09-04","1 PM","27.3","18.5","8.8","0.0"
